[2025-04-04 01:19:15] INFO: Initializing game...
[2025-04-04 01:19:15] INFO: Initializing item database...
[2025-04-04 01:19:15] INFO: Registered equipment: WEAPON_REAL_KNIFE
[2025-04-04 01:19:15] INFO: Registered equipment: WEAPON_WORN_BLADE
[2025-04-04 01:19:15] INFO: Registered equipment: ARMOR_SILK_ROBE
[2025-04-04 01:19:15] INFO: Registered equipment: ACCESSORY_HEART_LOCKET
[2025-04-04 01:19:15] INFO: Registered consumable: CONSUMABLE_ELIXIR
[2025-04-04 01:19:15] INFO: Registered consumable: CONSUMABLE_MANA_POTION
[2025-04-04 01:19:15] INFO: Registered consumable: CONSUMABLE_STRENGTH_POTION
[2025-04-04 01:19:15] INFO: Item database initialized
[2025-04-04 01:19:15] INFO: Game initialized successfully
[2025-04-04 01:19:17] INFO: Game disposed successfully
